,지역구,의료기관,주소,위도,경도,상세주소,전화번호
162,강동구,강동신경정신과의원,양재대로 1459,37.5119893,127.1281323,다성빌딩 4층,02.487.6220
163,강동구,김종하정신과의원,천호대로 1123,37.5350712,127.1365238,건영빌딩 3층,02.488.8855
164,강동구,나우정신건강의학과,천호대로 1033,37.5378953,127.126974,강동빌딩 5층,02.476.7533
165,강동구,늘푸른정신건강의학과의원,천호대로 1092,37.5352302,127.1326141,213호,02.474.6007
166,강동구,대성정신건강의학과의원,진황도로 158,37.5317589,127.1419176,2층,02.485.4288
167,강동구,더쉼정신건강의학과의원,올림픽로660,37.5401503,127.1245234,306호,02.470.6656
168,강동구,마음문정신건강의학과의원,양재대로 1626,37.5119893,127.1281323,201호,02.6953.7509
169,강동구,마음안정신건강의학과의원,올림픽로 651,37.5538754,127.1282822,6층,02.473.1160
170,강동구,맑은샘정신건강의학과의원,양재대로 1655,37.5119893,127.1281323,명일빌딩 306호,02.441.8575
171,강동구,봄날정신건강의학과의원,천호대로 1006,37.5380133,127.1237896,브라운스톤천호 309호,02.485.3345
172,강동구,사과나무정신건강의학과의원,올림픽로 665,37.5538754,127.1282822,대일빌딩 2층,02.482.5275
173,강동구,성모빛정신건강의학과의원,고덕로 353,37.5555804,127.1577313,고덕그라시움상가 238-240호,02.6953.1905
174,강동구,쉼정신건강의학과의원,천호대로 1116,37.5346716,127.1352138,강동라이저빌딩 207호,02.485.0055
175,강동구,연세필정신건강의학과의원,천호대로 1015,37.5385084,127.1251222,성보빌딩 8층 2호,02.6383.7700
176,강동구,온맘정신건강의학과의원,양재대로 1607,37.5119893,127.1281323,약봉빌딩 2층,02.427.5342
177,강동구,평온정신건강의학과의원,양재대로 1477,37.5119893,127.1281323,우리은행 602호,02.488.8555
178,강동구,현정신과의원,천호대로 1006,37.5380133,127.1237896,브라운스톤 401호,02.484.0678
179,송파구,다미신경정신과의원,올림픽로 116,37.51296465,127.08275604942200,4층,02.419.0152
180,송파구,닥터진힐링정신건강의학과의원,송이로 200,37.5002912,127.1187956,2층,02.402.0667
181,송파구,송파드림정신건강의학과의원,마천로 53,37.5038876,127.1371693,4층,02.2043.7737
182,송파구,송파성모정신건강의학과의원,송파대로 167,37.4852945,127.1221507,B동 212호,02.2054.8977
183,송파구,온가족정신건강의학과의원,송파대로 345,37.4985307,127.10939885195500,헬리오시티 상가 1-A동 3층 3003호,02.449.7790
184,송파구,이룸정신건강의학과의원,백제고분로 365,37.5093859,127.0790844,2층,02.425.1212
185,송파구,인성정신건강의학과의원,마천로 264,37.4981159,127.1461104,4층,02.430.6251
186,송파구,잠실아이정신건강의학과의원,올림픽로 293-19,37.5538754,127.1282822,104호,02.2202.7512
187,송파구,잠실하늘정신건강의학과의원,송파대로 558,37.5148558,127.0992864,,02.416.1333
188,송파구,하늘빛사랑정신건강의학과의원,송이로 144,37.5002912,127.1187956,3층,02.408.8359
189,송파구,해솔정신건강의학과의원(소아),삼전로 84,37.5043628,127.0880067,7층,02.414.7755
